de;fr;it;en;carbohydrates, available;energy;fat;fatty saturated;fiber;proteins;salt;sodium;sugars
Auberginen-Piccata, zubereitet;Piccata d'aubergines, préparée;Piccata di melanzane, preparata;Eggplant piccata, prepared;9;170;12;4,5;2,3;5,3;7,9;260;2,9
Auberginenscheiben, paniert, zubereitet;Tranches d'aubergine, panées, préparées;Fette di melanzana, impanate, preparate;Eggplant slices, breaded, prepared;15;140;6;0,7;3;4,8;4,9;290;3
Aufschnitt (Durchschnitt);Charcuterie (moyenne);Affettato (in media);Cold cuts (average);1;290;26;9,7;0;14,1;0,6;790;0,7
Avocado, roh;Avocat, cru;Avocado, crudo;Avocado, fresh;1;145;14;2,9;3;1,8;1;7;0,8
Bäckerhefe, gepresst;Levure de boulangerie, pressée;Lievito per pane, pressato;Yeast (baking), pressed;1;100;1;0,2;6,9;16,7;0,6;22;0
Bami Goreng, zubereitet;Bami Goreng, préparé;Bami Goreng, preparato;Bami Goreng, prepared;14;140;3;0,4;0,9;14;1,6;400;1,5
Banane, gedörrt;Banane, déshydratée (chips);Chips di banana secca ;Banana, dried (banana chips);81;370;2;0,7;7,6;3,9;0;3;65,3
Banane, getrocknet;Banane, mi-sèche;Banana, secca;Banana, dried;60;275;1;0,4;5,5;3;8,1;8;43,7
Banane, roh;Banane, crue;Banana, cruda;Banana, raw;21;95;0;0,1;2;1,1;2;1;17,2
Basilikum, roh;Basilic, cru;Basilico, fresco;Basil, raw;5;50;1;0,1;3,1;3,1;0,9;9;5
Basler Leckerli;Leckerli de Bâle;Leckerli di Basilea;Basler Leckerli (Swiss biscuit from Basel);75;405;8;0,6;3,2;6,9;0,6;2,9;52
Bauernbratwurst, roh;Saucisse à rôtir de porc, crue;Salsiccia da arrostire di maiale, cruda;Bratwurst, fried sausage, pork, raw;0;245;19;7,1;0;16,9;1,3;1530;0,2
Bauernbrot;Pain paysan;Pane contadino;Farmers' bread;45;240;2;0,7;4,2;9;3,7;700;2,5
Bauernsalami;Salami à la mode campagnarde;Salame di campagna;Salami Farmer style;1;535;50;18,7;0;20,6;0,9;1580;0,8
Bauernschüblig;Schüblig de campagne;Schüblig di campagna;Peasant's Schüblig;0;525;49;18,8;0;21,3;1;1590;0,3
Bauernspeck, roh, geräuchert;Lard de campagne, fumé;Pancetta di campagna, affumicata;Bacon Farmer style, raw, smoked;1;520;49;0;0;19,1;0;0;0
Baumnuss;Noix;Noci;Walnut;7;745;71;6,3;6,7;15,9;2;0,3;2
Baumnussbrot;Pain aux noix;Pane alle noci;Bread with walnuts;31;340;19;3,9;5,5;8,9;2,9;480;1,4
Béchamelsauce hausgemacht;Sauce Béchamel fait maison;Salsa Béchamel fatta in casa;Béchamel sauce home made;10;150;10;6;0,2;4,3;9,8;300;4,8
Beeren (Durchschnitt), gekocht (ohne Zugabe von Zucker);Baie (moyenne), cuite (sans adjonction de sucre);Bacche (in media), cotte (senza aggiunta di zucchero),;Berries (average), cooked (without addition of sugar);8;45;1;0;3;0,8;1,3;2,2;7,6
Beeren (Durchschnitt), roh;Baie (moyenne), crue;Bacche (in media), crude;Berries (average), raw;7;45;1;0;2,8;0,8;1,2;2,1;7,2
Berliner;Boule de Berlin;Bombolone farcito ;Berliner pastry;43;330;13;6,8;2,2;8,4;4,1;250;5,2
Berner Alpkäse;Fromage des alpes bernoises;Formaggio dei alpi di Berna;Bernese alp cheese;0;460;38;;0;27,7;;660;
Berner Hobelkäse;Berner Hobelkäse (fromage à rebibes);Berner Hobelkäse (formaggio rotoli);Bernese cheese for slicing;0;495;41;;0;30,6;;690;
Berner Zungenwurst;Saucisse bernoise (à la langue);Salsiccia bernese (di lingua);Bernese tongue sausage;0;335;29;10,9;0;17,3;0,7;600;0
Biber;Biber;Biber;Biber (Filled ginger bread type);57;465;20;1,6;6;10,3;1;1,8;45,4
Bier Panache (Durchschnitt);Bière panachée (moyenne);Birra panaché (media);Beer shandy (average);7;40;0;0;0;0,2;1,2;3,1;6,4
Bierhefe, getrocknet;Levure de bière, séchée;Lievito di birra, secco;Yeast, dried;27;355;4;0,6;9,5;47,9;4;77;3,2
Bierwurst;Saucisse du brasseur;Salsiccia del birraio;Bierwurst (coarse heat-treated, cured & smoked sausage, beef and pork);0;350;31;11,8;0;16,8;0,7;580;0
Birchermüesli, zubereitet (ungezuckert);Birchermüesli, préparé (non sucré);Birchermüesli, preparato (non zuccherato);Birchermüesli, prepared (no sugar added);11;90;3;1,2;1,9;2,7;5,7;20;8,3
Birne, gedünstet, abgetropft (ohne Zugabe von Zucker);Poire, cuite,  égouttée (sans adjonction de sucre);Pere, cotte, sgocciolate (senza aggiunta di zucchero);Pear, stewed, drained (without addition of sugar);16;75;0;0;3;0,5;1;2,6;15,8
Birne, getrocknet;Poire, séchée;Pere, secche;Pear, dried;60;290;1;0,1;13,5;2,4;5;10;49,3
Birne, gezuckert (Konserve);Poire, sucrée, conserve;Pere, zuccherate, conserva;Pear, sweetened, canned;21;95;0;0;2,1;0,4;0,7;1,8;21
Birne, roh;Poire, crue;Pera, cruda;Pear, raw;12;60;0;0;2,3;0,4;0,8;2;12,2
Birne, ungezuckert (Konserve);Poire, non sucrée, conserve;Pere, non zuccherate, conserva;Pear, unsweetened, canned;12;60;0;0;2,3;0,4;0,8;2;12,2
Birnenkuchen, gebacken (mit Blätterteig);Tarte aux poires, cuite au four (pâte feuilletée);Torta di pera, cotta nel forno (pasta sfoglia);Pear pie, baked (with puff pastry);17;145;7;3,8;1,8;2,4;3;93;9,9
Birnenkuchen, gebacken (mit Kuchenteig);Tarte aux poires, cuite au four (pâte à gateau);Torta di pera, cotta nel forno (pasta per torta);Pear pie, baked (with cake dough);19;140;5;2,6;2;2,8;3,1;100;9,9
Birnensaft;Jus de poire;Succo di pere;Pear juice;11;50;1;0,2;0;0,5;1;2;11
Birnenweggen;Chausson aux poires;Pasticcino alle pere;Birnenweggen, pastry with pear;57;360;10;5,8;7,7;5;2,5;290;33,7
Blanc battu;Blanc battu;Blanc battu;Blanc battu;3;45;0;0,1;0;7,6;7;23;2,4
Blanc battu mit Früchten light;Blanc battu aux fruits light;Blanc battu alla frutta light;Blanc battu with fruits light;8;70;0;0,1;0,3;8;10;48;5,4
Blätterteig hausgemacht (Butter), ungebacken;Pâte feuillettée faite maison (au beurre), crue;Pasta sfoglia casalinga (al burro), cruda;Puff pastry home-made (with butter), raw;29;365;25;14,6;1,3;5,2;0,5;340;0,3
Blätterteig hausgemacht (mit pflanzlichem Fett), ungebacken;Pâte feuilletée faite maison (avec graisse végétale), crue;Pasta sfoglia casalinga (con grasso vegetale), cruda;Puff pastry home-made (with vegetable fat), raw;29;360;24;6,7;1,3;5,2;0,9;360;0,1
Blätterteigpastetli, Butter;Vol-au-vent au beurre;Vol-au-vent, al burro;Puff pastry patty with butter;43;565;41;25;2;5,8;0;470;1
Blätterteigstängel;Flûte feuilletté;Bastoncini di pasta sfoglia ;Puff pastry sticks;40;500;34;14,6;1,8;7,2;1,2;1040;0,3
Blattgemüse (Durchschnitt exkl. Salate), gedämpft (ohne Zugabe von Salz);Légumes feuille (moyenne sans salade), à la vapeur  (sans adjonction de sel);Verdura a foglia (in media esclusa la lattuga), stufata (senza aggiunta di grassi o sale);Leafy vegetables (average excluding salads), steamed (without addition of salt);2;25;0;0;2,4;1,6;2,4;18;2,2
Blattgemüse (Durchschnitt exkl. Salate), gedünstet (ohne Zugabe von Salz und Fett);Légumes feuille (moyenne sans salade), à l'étuvée (sans adjonction de graisse ni de sel);Verdura a foglia (in media esclusa la lattuga), brasata (senza aggiunta di grassi o sale);Leafy vegetables (average excluding salads), stewed (without addition of salt and fat);3;25;0;0;2,6;1,7;2,7;22;2,3
Blattgemüse (Durchschnitt exkl. Salate), gekocht (ohne Zugabe von Salz und Fett);Légumes feuille (moyenne sans salade), cuits (sans adjonction de graisse ni de sel);Verdura a foglia (in media esclusa la lattuga), cotta (senza aggiunta di grassi o sale);Leafy vegetables (average excluding salads), boiled (without addition of salt and fat);2;25;0;0;2,5;1,6;2,3;16;2,2
Blattsalat (Durchschnitt), roh ;Salade verte (moyenne), crue;Lattughe (in media), crude;Leafy salad (average), raw ;1;20;0;0;1,9;1,6;5,7;18;1,4
Blauschimmelkäse (Durchschnitt);Fromage bleu (moyenne);Formaggio blu (in media);Blue cheese (average);0;365;32;18,9;0;19,1;40;1530;0
Blumenkohl, gedämpft (ohne Zugabe von Salz);Chou-fleur, à la vapeur (sans adjonction de sel);Cavolfiore, al vapore (senza aggiunta di sale);Cauliflower, steamed (without addition of salt);2;30;0;0;2,5;2,5;0,6;12;2,1
Blumenkohl, roh;Chou-fleur, cru;Cavolfiore, crudo;Cauliflower, raw;2;30;0;0;2,4;2,4;0,6;14;2
Blutwurst;Boudin;Sanguinaccio;Black pudding;3;155;11;4,5;0,1;10,7;6,8;800;2,6
Bohne, grün, gedämpft (ohne Zugabe von Salz);Haricot (vert), à la vapeur (sans adjonction de sel);Fagiolini verdi, al vapore (senza agigunta di sale);Green bean, steamed (without addition of salt);4;35;0;0,1;3,4;2,3;3,1;3,7;2,4
Bohne, grün, getrocknet;Haricot (vert) sec, cru;Fagiolini verdi, secchi;Bean, green, dried;26;255;2;0,4;25,3;20,2;25;17;9,5
Bohne, grün, roh;Haricot vert, cru;Fagiolino verde, crudo;Bean, green, raw;4;35;0;0,1;3,1;2,1;3;4;2,2
Bohne, weiss, gekocht (ohne Zugabe von Fett und Salz);Haricot, blanc, cuit (sans adjonction de graisse ni de sel);Fagioli bianchi, cotti (senza aggiunta di grassi e sale);Bean, white, cooked (without addition of fat and salt);18;130;1;0,2;7,4;8,5;0,2;1,2;1,4
Bohne, weiss, getrocknet;Haricot, blanc, sec;Fagioli bianchi, secchi;Bean, white, dried;44;325;3;0,4;18,4;21,3;0,6;2,1;3,6
Bolognaisesauce;Sauce bolognaise;Ragù alla bolognese;Ground meat sauce;8;100;4;1,4;0,6;6,3;1,5;220;2,6
Bouillon, Fleisch, zubereitet;Bouillon de viande, preparé;Brodo di carne preparato;Bouillon, meat, prepared;0;5;0;0,2;0;0,3;3;420;0
Bouillon, Geflügel, zubereitet;Bouillon de poule, preparé;Brodo di pollo preparato;Bouillon, poultry, prepared;0;5;0;0,1;0;0,3;2,8;400;0,1
Bouillon, Gemüse, zubereitet;Bouillon de légumes, preparé;Brodo di verdura, preparato;Bouillon, vegetable, prepared;0;10;0;0,1;0;0,3;3,6;360;0,1
Branchli (Milchschokolade mit Haselnusscrèmefüllung);Chocolat au lait, fourré à la crème de noisettes ;Cioccolato al latte ripieno di crema alle nocciole;Milk chocolate filled with nuts (chocolate bar);49;560;36;16,8;3,4;7,6;7,3;62;47,9
Branntwein aus Getreide (z.B. Whisky);Eau-de-vie de céréales (p.ex. Whisky);Acquavite di cereali (p.es. Whisky);Spirits, grain (e.g. whisky);0;255;0;0;0;0;0;1;0,1
Branntwein aus Wein (z.B.Cognac);Eau-de-vie de vin (p. ex. Cognac);Acquavite di vino (p.es. Cognac);Spirits, wine (e.g. cognac);2;240;0;0;0;0;0;2;2
Branntwein aus Zuckerrohr (z.B. Rum);Eau-de-vie de canne à sucre (p.ex. Rhum);Acquavite di canna da zucchero (p.es. Rum);Spirits, sugar cane (e.g. rum);0;235;0;0;0;0;0;1;0
Bratbutter;Beurre à rôtir;Burro per arrostire;Butter, clarified;0;885;98;58,9;0;0,1;0;10;0
Bratensauce, gebunden;Sauce de rôti, liée;Salsa d'arrosto, legata;Gravy, thickened;5;55;3;0,7;0,5;1,6;3;580;0,8
Bratensauce, klar;Sauce de rôti, claire;Salsa d'arrosto, chiara;Gravy, brown;4;45;3;0,5;0,5;1,5;3;900;1,5
Bresaola;Bresaola;Bresaola;Bresaola (cured beef);0;170;4;1,6;0;32,4;0;2730;0
Brie, halbfett;Brie, mi-gras;Brie, semigrasso;Brie, at least 25% fidm;0;200;12;6,9;0;24;23;740;0
Brie, Rahm;Brie, à la crème;Formaggio Brie, alla panna;Brie, at least 50% fidm;0;335;30;18;0;16;20;560;0
Brie, vollfett;Brie, gras;Formaggio Brie, grasso;Brie, at least 45% fidm;0;300;24;14,1;0;21,8;8,3;510;0
Broccoli, gedämpft (ohne Zugabe von Salz);Brocoli, à la vapeur (sans adjonction de sel);Broccoli, al vapore (senza aggiunta di sale);Broccoli, steamed (without addition of salt);2;30;0;0,1;2,9;2,9;14;11;2,2
Broccoli, roh;Brocoli, cru;Broccoli, crudi;Broccoli, raw;2;35;0;0,1;3;3;15;13;2,3
Brombeere, roh;Mûre, crue;Mora, cruda;Blackberry, fresh;6;45;0;0;6;1;0,4;3;6,2
Brombeerkuchen, gebacken (mit Blätterteig);Tarte aux mûres, cuite au four (pâte feuilletée);Torta di mora, cotta nel forno (pasta sfoglia);Blackberry pie, baked (with puff pastry);13;135;7;3,8;4,3;2,8;2,8;94;5,9
Brombeerkuchen, gebacken (mit Kuchenteig);Tarte aux mûres, cuite au four (pâte à gateau);Torta di mora, cotta nel forno (pasta per torta);Blackberry pie, baked (with cake dough);15;130;5;2,6;4,4;3,2;2,8;100;5,9
Brombeerkuchen, gebacken (mit süssem Mürbeteig);Tarte aux mûres, cuite au four (pâte brisée sucrée);Torta di mora, cotta nel forno (pasta frolla dolce);Blackberry pie, baked (with sweet short pastry base);19;200;11;6,4;4;3,2;2,3;92;8,4
Brot (Durchschnitt);Pain (moyenne);Pane (in media);Bread (average);45;265;5;2,3;3,7;9,2;2,6;620;1,3
Brühwürste geräuchert (Durchschnitt);Produits de charcuterie échaudés, fumés (moyenne);Salsiccia da cuocere affumicata (in media);Cooked smoked sausages (average);0;265;23;8,7;0;14,3;0,1;870;0,4
Brühwürste ungeräuchert (Durchschnitt);Produits de charcuterie échaudés, non fumés (moyenne);Salsiccia da cuocere non affumicata (in media);Cooked sausages not smoked (average);1;260;22;8,4;0;13,2;1;1550;0,8
Brunnenkresse, roh;Cresson, cru;Crescione, crudo;Water cress, raw;0;20;0;0,1;2,6;2,2;2;42;0,3
Brunsli;Brun de Bâle;Brunsli di Basilea;Brunsli (chocolate cookie);42;495;29;5,6;7,9;12,7;2,3;53;38,2
Buchweizen, Korn geschält;Sarrasin, grains décortiqués;Grano saraceno, sgusciato;Buckwheat, grain peeled;71;345;2;0,3;3,7;9,1;0,5;2;0,4
Buchweizenmehl;Farine de sarrasin;Farina di grano saraceno;Buckwheat flour;65;345;3;0,6;6,2;12;0,2;6;0,3
Bündner Gerstensuppe;Soupe d'orge des Grisons;Zuppa d'orzo grigionese;Graubünden barley soup;7;45;1;0,5;0,5;1,4;4,2;340;1,2
Bürli (halbweiss);Petit pain Bürli (farine mi-blanche);Panino Bürli (farina semibianca);Bread roll (semi white);42;220;1;0,2;2,9;8,6;0,8;770;0,4
Buttergipfeli, hell;Croissant blanc au beurre;Cornetto biancho al burro;Butter croissant, white;44;435;24;14,1;2,6;8,8;1,8;490;3,3
Buttergipfeli, Vollkorn;Croissant au beurre, complet;Cornetto al burro, integrale;Butter croissant, wholemeal;39;370;20;11,5;3,6;6,4;1,5;440;1,2
Buttermilch;Babeurre;Latticello;Buttermilk;4;35;1;0,3;0;3,2;7,3;60;4
Butterweggli;Petit pain au lait;Panino al latte;Weggli, bread roll made with butter;47;310;9;4,9;2,2;9,4;4,5;650;3,4
Butterzopf;Tresse au beurre;Treccia al burro;Braided white bread made with butter;46;330;11;6,5;2,1;9;5;580;2,9
Butterzopf, Vollkorn;Tresse au beurre, au blé entier;Treccia al burro, integrale;Braided bread, wholemeal, made with butter;41;275;6;3,2;7,3;9,4;2,5;460;1
Café crème, ungezuckert;Café crème, non sucré;Caffe crema, non zuccherato;Coffee with coffee cream, no sugar added;1;15;1;0,7;0,1;0,3;0,9;6,9;0,3
Cake Financier;Cake financier;Cake alla finanziera;Cake financier;37;430;26;8;4;9,8;2,2;39;29,2
Calimocho (Rotwein mit Cola);Calimocho (Vin rouge avec cola);Calimocho (Vino rosso con cola);Calimocho (red wine mixed with cola);5;60;0;0;0;0;1;4,5;5,1
Camembert, halbfett;Camembert, mi-gras;Formaggio Camembert, semigrasso;Camembert, at least 25% fidm;0;180;10;6;0;22;20;600;0
Camembert, Rahm;Camembert, à la crème;Formaggio Camembert, alla panna;Camembert, at least 50% fidm;0;355;32;19;0;16,4;6,8;480;0
Camembert, vollfett;Camembert, gras;Formaggio Camembert, grasso;Camembert, at least 45% fidm;0;300;24;14,2;0;21,2;20;890;0
Cannelloni mit Fleischfüllung, zubereitet;Cannellonis à la viande, préparés;Cannelloni con carne, preparati;Cannelloni filled with meat, prepared;15;195;10;4,9;1,8;10,4;4,8;280;2,6
Cannelloni mit Spinat-Ricotta-Füllung, zubereitet;Cannellonis aux épinards à la ricotta, préparés;Cannelloni con ricotta e spinaci, preparati;Cannelloni filled with spinach and ricotta, prepared;15;225;14;7,7;1,7;8,7;11;320;1,8
Cappuccino (ohne Schokoladenpulver), ungezuckert;Cappuccino (sans poudre de chocolat), non sucré;Cappuccino (senza polvere di cioccolato), non zuccherato;Cappuccino (without chocolate powder), no sugar added;3;40;2;1,3;0;1,8;5,1;21;2,5
Capuns, zubereitet;Capuns, préparés;Capuns, preparati;Capuns, prepared;10;170;10;5,2;1;8,1;6,7;380;1,1
Cashewnuss;Noix de cajou;Anacardi;Cashew nut;27;595;45;7,8;3,6;18,2;10;9,2;5,9
Cervelat;Cervelas;Cervelat;Cervelat (Swiss sausage);1;250;22;8,2;0;13,4;;840;0,5
Champignon (Konserve);Champignons de Paris, conserve;Funghi prataioli, conserva;Mushroom, canned;1;20;0;0;2,5;2,3;18;340;0
Champignon, gedünstet (ohne Zugabe von Fett und Salz);Champignon, à l'étuvée (sans adjonction de graisse ni de sel);Funghi prataioli, stufati (senza aggiunta di grasso e sale);Mushroom, stewed (without addition of fat and salt);1;30;0;0;2,3;3,5;21;6;0,4
Champignon, roh;Champignon, cru;Fungo prataiolo, crudo;Mushroom, raw;1;25;0;0;1,9;2,9;18;5,7;0,3
Chicorée, gedämpft (ohne Zugabe von Salz);Endive, à la vapeur (sans adjonction de sel);Cicoria belga, al vapore (senza aggiunta di sale);Chicory, steamed (without addition of salt);1;15;0;0;2,6;1;1;3,5;0,6
Chicorée, roh;Endive, crue;Insalata belga, cruda;Chicory, raw;1;15;0;0;2,5;1;1;4;0,6
Chili con carne, zubereitet;Chili con carne, préparé;Chili con carne, preparato;Chili con carne, prepared;9;125;4;1,2;2,7;10,8;2,3;150;2,1
Chinakohl, gedünstet (ohne Zugabe von Fett und Salz);Chou de Chine, à l'étuvée (sans adjonction de graisse ni de sel);Cavolo cinese, stufato (senza aggiunta di grasso e sale);Chinese cabbage, stewed (without addition of fat and salt);1;20;0;0,1;2;1,2;0,3;17;1,2
Chinakohl, roh;Chou de Chine, cru;Cavolo cinese, crudo;Chinese cabbage, raw;1;20;0;0,1;1,9;1,1;0,3;19;1,2
Chräbeli (Anisgebäck);Petit gâteau à l'anice;Creste di gallo all'anice;Chräbeli (aniseed cookie);75;370;3;0,7;2;8,5;6,8;60;40,5
Cicorino rot, roh;Chicorée rouge, crue;Cicorino rosso, crudo;Radicchio red, raw;2;20;0;0;3;1,4;0;7;1,6
Cocktailsauce, selbst zubereitet mit Rapsöl-Mayonnaise;Sauce cocktail, préparée à la maison avec la mayonnaise de colza;Salsa cocktail, fatta in casa con maionese di colza;Cocktail sauce, home made with rapeseed mayonnaise;4;695;74;6,9;0,2;2,4;1,7;290;3,7
Colagetränk, gezuckert;Soda au cola, sucré;Bevanda gassata a base di cola zuccherata;Cola beverage, sweetened;10;40;0;0;0;0;2;9;10
Colagetränk, mit Süssstoffen;Soda au cola, édulcoré;Bevanda gassata a base di cola edulcorata;Cola beverage, with sweetener;0;0;0;0;0;0;1;5;0
Coleslaw Salat, zubereitet;Salade Coleslaw, préparée;Insalata Coleslaw, preparata;Coleslaw salad, prepared;4;120;10;1,8;2,1;1,7;5,1;74;4,1
Coppa;Coppa;Coppa;Coppa (cured pork meat);0;320;23;8,5;0;28,8;0;1520;0,3
Cordon Bleu aus Kalbsplätzli, gebraten;Cordon bleu de veau, sauté;Cordon bleu di vitello, preparato;Cordon bleu from veal schnitzel, fried;10;240;11;3,1;0,6;23,9;5,1;380;0,5
Cordon Bleu aus Schweinsplätzli, gebraten;Cordon bleu de porc, sauté;Cordon bleu di maiale, preparato;Cordon bleu from pork schnitzel, fried;10;250;12;3,3;0,6;24,2;5,8;380;0,5
Cornflakes;Cornflakes;Cornflakes;Cornflakes;79;360;1;0,1;4;7,2;1;940;7,1
Cotechino;Cotechino;Cotechino;Cotechino (pork sausage);0;450;42;14;0;17,2;0;1740;0
Cotto (Fleischerzeugnis);Cotto (produit à base de viande);Cotto;Cotto (meat product);1;95;3;1,2;0;15,7;;910;0,6
Cracker, Salzgebäck, Apérogebäck;Crackers, biscuits salés;Cracker, salatini, salatini da aperitivo;Cracker, salty snacks;66;450;16;5,9;2,1;9,2;13;590;0
Crèmeschnitte;Feuilleté à la crème;Sfoglia alla crema;Cream slice;35;320;18;10,8;0,3;3,5;5,9;100;15,3
Crêpes mit Camembert, zubereitet;Crêpes au camembert, préparés;Crêpes al formaggio Camembert, preparati;Thin pancakes with camembert cheese, prepared;15;250;16;8,2;0,5;11,9;18;310;2,3
Crêpes mit Champignonfüllung, zubereitet;Crêpes aux champignons, préparés;Crêpes ai funghi prataiolo, preparati;Thin pancakes with mushrooms, prepared;8;140;9;4,7;1,6;5,3;19;140;1,8
Crêpes mit Gemüsefüllung, zubereitet;Crêpes aux légumes, préparés;Crêpes alla verdura, preparati;Thin pancakes with vegetable filling, prepared;14;165;9;4;1,6;6;12;94;4
Crêpes mit Nutella, zubereitet;Crêpes au Nutella, préparés;Crêpes alla Nutella, preparati;Thin pancakes with Nutella, prepared;36;380;22;9;1,7;7,7;13;100;26,6
Crêpes mit Schinken, zubereitet;Crêpes au jambon, préparés;Crêpes al prosciutto, preparati;Thin pancakes with ham, prepared;13;195;10;4,7;0,5;12,8;13;400;2,2
Crêpes mit Speck, zubereitet;Crêpes au lard, préparés;Crêpes al lardo, preparati;Thin pancakes with bacon, prepared;15;255;16;7,4;0,5;11,2;14;360;2,4
Crêpes mit Zimt und Zucker, zubereitet;Crêpes au sucre et cannelle, préparés;Crêpes al zucchero con cannella, preparati;Thin pancakes with sugar and cinnamon, prepared;29;260;12;5,7;0,7;8,2;16;130;14,9
Crêpes nature, zubereitet;Crêpes nature, préparés;Crêpes al naturale, preparati;Thin pancakes, prepared;19;235;13;6,5;0,7;9,3;18;150;2,9
Crevettencocktail, zubereitet;Cocktail au crevette, préparé;Cocktail al gambero, preparato;Shrimp cocktail, prepared;5;175;13;7,7;0,3;5,5;34;190;3,8
