de;fr;it;en;carbohydrates, available;energy;fat;fatty saturated;fiber;proteins;salt;sodium;sugars;imageUrl
Aprikose, gedünstet, abgetropft (ohne Zugabe von Zucker);Abricot, cuit,  égoutté (sans adjonction de sucre);Albicocche, cotte, sgocciolate (senza aggiunta di zucchero);Apricot, stewed, drained (without addition of sugar) ;13;60;0;0;2,6;1;0,6;2,5;12,5;https://upload.wikimedia.org/wikipedia/commons/f/fb/Mammea_americana_leaves.jpg
Aprikose, getrocknet;Abricot, sec;Albicocche, secche;Apricot, dried;48;275;1;0;17,7;5;2,7;11;43,3;https://upload.wikimedia.org/wikipedia/commons/b/b9/Dried_apricot_01_Pengo.jpg
Aprikose, gezuckert (Konserve);Abricot, sucré, conserve;Albicocche, zuccherate, conserva;Apricot, sweetened, canned;19;85;0;0;1,9;0,7;0,4;1,8;19;http://maxpixel.freegreatpicture.com/static/photo/1x/Cook-Jam-Apricot-Glasses-Apricots-Preparations-1523723.jpg
Aprikose, roh;Abricot, cru;Albicocca, cruda;Apricot, raw;10;50;0;0;2,1;0,8;0,5;2;10;https://c1.staticflickr.com/4/3027/2619722821_42715384f6_b.jpg
Aprikose, ungezuckert (Konserve);Abricot, non sucré, conserve;Albicocche, non zuccherate, conserva;Apricot, unsweetened, canned;10;50;0;0;2,1;0,8;0,5;2;10;https://upload.wikimedia.org/wikipedia/commons/0/02/Cha_ca_La_Vong.jpg
Aprikosenkuchen, gebacken (mit Blätterteig);Tarte aux abricots, cuite au four (pâte feuilletée);Torta d'albicocca, cotta nel forno (pasta sfoglia);Apricot pie, baked (with puff pastry);15;140;7;3,8;1,7;2,6;2,8;93;8,4;http://maxpixel.freegreatpicture.com/static/photo/1x/Pudding-Sweet-Vanilla-Pastries-Dessert-Tart-Sugar-1822170.jpg
Aprikosenkuchen, gebacken (mit Kuchenteig);Tarte aux abricots, cuite au four (pâte à gateau);Torta di albicocca, cotta nel forno (pasta per torta);Apricot pie, baked (with cake dough);18;130;5;2,6;1,8;3;2,9;100;8,4;http://maxpixel.freegreatpicture.com/static/photo/1x/Dessert-Tart-Pie-Apricot-Cake-Cream-Apricot-1140530.jpg
Aubergine, gedünstet (ohne Zugabe von Fett und Salz);Aubergine, à l'étuveée (sans adjonction de graisse ni de sel);Melanzane, stufate (senza aggiunta di grassi o sale);Eggplant, stewed (without addition of fat and salt);4;30;0;0;3;1,2;0,2;3,8;3,5;https://upload.wikimedia.org/wikipedia/commons/f/f4/Bocksbraten_Kundm%C3%BCller_Weiher_2.jpg
Aubergine, roh;Aubergine, crue;Melanzana, cruda;Eggplant, raw;3;25;0;0;2,4;1;0,2;3;2,8;https://cdn.pixabay.com/photo/2015/03/13/16/32/eggplant-671910_960_720.jpg
Auberginen-Piccata, zubereitet;Piccata d'aubergines, préparée;Piccata di melanzane, preparata;Eggplant piccata, prepared;9;170;12;4,5;2,3;5,3;7,9;260;2,9;https://upload.wikimedia.org/wikipedia/commons/2/25/Venezia_Chicken_Pizzaiola.jpg
Auberginenscheiben, paniert, zubereitet;Tranches d'aubergine, panées, préparées;Fette di melanzana, impanate, preparate;Eggplant slices, breaded, prepared;15;140;6;0,7;3;4,8;4,9;290;3;https://upload.wikimedia.org/wikipedia/commons/2/28/Kara%C4%91or%C4%91eva_%C5%A1nicla_with_ajvar.jpg
Aufschnitt (Durchschnitt);Charcuterie (moyenne);Affettato (in media);Cold cuts (average);1;290;26;9,7;0;14,1;0,6;790;0,7;https://upload.wikimedia.org/wikipedia/commons/a/a4/Jelly_fish%2C_roast_pork%2C_chicken_and_cold_cuts_%285221751%29.jpg
Avocado, roh;Avocat, cru;Avocado, crudo;Avocado, fresh;1;145;14;2,9;3;1,8;1;7;0,8;http://maxpixel.freegreatpicture.com/static/photo/1x/Food-Sliced-Avocado-Fresh-Raw-Healthy-Ingredient-1286996.jpg
Bäckerhefe, gepresst;Levure de boulangerie, pressée;Lievito per pane, pressato;Yeast (baking), pressed;1;100;1;0,2;6,9;16,7;0,6;22;0;https://upload.wikimedia.org/wikipedia/commons/8/8b/The_pure_food_cook_book%2C_the_Good_housekeeping_recipes%2C_just_how_to_buy-just_how_to_cook_%281914%29_%2814598379058%29.jpg
Bami Goreng, zubereitet;Bami Goreng, préparé;Bami Goreng, preparato;Bami Goreng, prepared;14;140;3;0,4;0,9;14;1,6;400;1,5;https://upload.wikimedia.org/wikipedia/commons/f/f0/Mi_Goreng_GM.jpg
Banane, gedörrt;Banane, déshydratée (chips);Chips di banana secca ;Banana, dried (banana chips);81;370;2;0,7;7,6;3,9;0;3;65,3;https://upload.wikimedia.org/wikipedia/commons/2/27/Banana_chips_%28close-up%29.jpg
Banane, getrocknet;Banane, mi-sèche;Banana, secca;Banana, dried;60;275;1;0,4;5,5;3;8,1;8;43,7;https://upload.wikimedia.org/wikipedia/commons/b/b9/Dried_banana.png
Banane, roh;Banane, crue;Banana, cruda;Banana, raw;21;95;0;0,1;2;1,1;2;1;17,2;http://maxpixel.freegreatpicture.com/static/photo/1x/Harvest-Healthy-Bananas-Fruit-Fresh-Tropical-Raw-1425327.jpg
Basilikum, roh;Basilic, cru;Basilico, fresco;Basil, raw;5;50;1;0,1;3,1;3,1;0,9;9;5;http://maxpixel.freegreatpicture.com/static/photo/1x/Green-Basil-Healthy-Raw-Leaf-Ingredient-Food-1665854.jpg
Basler Leckerli;Leckerli de Bâle;Leckerli di Basilea;Basler Leckerli (Swiss biscuit from Basel);75;405;8;0,6;3,2;6,9;0,6;2,9;52;https://upload.wikimedia.org/wikipedia/commons/5/5b/Basler_L%C3%A4ckerli_01.jpeg
Bauernbratwurst, roh;Saucisse à rôtir de porc, crue;Salsiccia da arrostire di maiale, cruda;Bratwurst, fried sausage, pork, raw;0;245;19;7,1;0;16,9;1,3;1530;0,2;https://cdn.pixabay.com/photo/2016/07/28/11/10/sausage-1547556_960_720.jpg
Bauernbrot;Pain paysan;Pane contadino;Farmers' bread;45;240;2;0,7;4,2;9;3,7;700;2,5;https://cdn.pixabay.com/photo/2014/07/09/22/09/farmers-bread-388647_960_720.jpg
Bauernsalami;Salami à la mode campagnarde;Salame di campagna;Salami Farmer style;1;535;50;18,7;0;20,6;0,9;1580;0,8;http://mountpleasantgranary.net/blog/images/lunch-in-summer-house.jpg
Bauernschüblig;Schüblig de campagne;Schüblig di campagna;Peasant's Schüblig;0;525;49;18,8;0;21,3;1;1590;0,3;https://upload.wikimedia.org/wikipedia/commons/5/5c/Grilled_kielbasa.jpg
Bauernspeck, roh, geräuchert;Lard de campagne, fumé;Pancetta di campagna, affumicata;Bacon Farmer style, raw, smoked;1;520;49;0;0;19,1;0;0;0;https://upload.wikimedia.org/wikipedia/en/0/0b/Hickory_smoked_barbecue_bacon.jpg
Baumnuss;Noix;Noci;Walnut;7;745;71;6,3;6,7;15,9;2;0,3;2;https://upload.wikimedia.org/wikipedia/commons/1/1b/Juglans_regia_2009_G2.jpg
Baumnussbrot;Pain aux noix;Pane alle noci;Bread with walnuts;31;340;19;3,9;5,5;8,9;2,9;480;1,4;https://upload.wikimedia.org/wikipedia/commons/c/ce/Date_and_walnut_bread.jpg
Béchamelsauce hausgemacht;Sauce Béchamel fait maison;Salsa Béchamel fatta in casa;Béchamel sauce home made;10;150;10;6;0,2;4,3;9,8;300;4,8;https://c1.staticflickr.com/6/5766/24072836016_0d8a4b0c37_b.jpg
Beeren (Durchschnitt), gekocht (ohne Zugabe von Zucker);Baie (moyenne), cuite (sans adjonction de sucre);Bacche (in media), cotte (senza aggiunta di zucchero),;Berries (average), cooked (without addition of sugar);8;45;1;0;3;0,8;1,3;2,2;7,6;https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Wine_grape_diagram_en.svg/1187px-Wine_grape_diagram_en.svg.png
Beeren (Durchschnitt), roh;Baie (moyenne), crue;Bacche (in media), crude;Berries (average), raw;7;45;1;0;2,8;0,8;1,2;2,1;7,2;https://cdn.pixabay.com/photo/2016/11/19/15/40/berries-1839940_960_720.jpg
Berliner;Boule de Berlin;Bombolone farcito ;Berliner pastry;43;330;13;6,8;2,2;8,4;4,1;250;5,2;https://upload.wikimedia.org/wikipedia/commons/d/d3/Berliner_%28pastry%29.jpg
Berner Alpkäse;Fromage des alpes bernoises;Formaggio dei alpi di Berna;Bernese alp cheese;0;460;38;;0;27,7;;660;;https://upload.wikimedia.org/wikipedia/commons/d/dc/Wengern_Alp%2C_cheese_dairy%2C_cowkeeper_milking_cow%2C_Bernese_Oberland%2C_Switzerland-LCCN2001701272.jpg
Berner Hobelkäse;Berner Hobelkäse (fromage à rebibes);Berner Hobelkäse (formaggio rotoli);Bernese cheese for slicing;0;495;41;;0;30,6;;690;;http://maxpixel.freegreatpicture.com/static/photo/1x/Wheat-Texture-Sliced-Oats-Whole-Grain-Bread-Corn-530046.jpg
Berner Zungenwurst;Saucisse bernoise (à la langue);Salsiccia bernese (di lingua);Bernese tongue sausage;0;335;29;10,9;0;17,3;0,7;600;0;http://maxpixel.freegreatpicture.com/static/photo/1x/Snack-Salami-Fat-Delicious-Sausage-Meat-Eat-Food-1981727.jpg
Biber;Biber;Biber;Biber (Filled ginger bread type);57;465;20;1,6;6;10,3;1;1,8;45,4;https://upload.wikimedia.org/wikipedia/en/4/4a/Great_Adventure_May_6%2C_2007.jpg
Bier Panache (Durchschnitt);Bière panachée (moyenne);Birra panaché (media);Beer shandy (average);7;40;0;0;0;0,2;1,2;3,1;6,4;https://upload.wikimedia.org/wikipedia/commons/0/03/Porter_zywiec.jpg
Bierhefe, getrocknet;Levure de bière, séchée;Lievito di birra, secco;Yeast, dried;27;355;4;0,6;9,5;47,9;4;77;3,2;https://upload.wikimedia.org/wikipedia/commons/9/90/Dry_yeast.jpg
Bierwurst;Saucisse du brasseur;Salsiccia del birraio;Bierwurst (coarse heat-treated, cured & smoked sausage, beef and pork);0;350;31;11,8;0;16,8;0,7;580;0;https://upload.wikimedia.org/wikipedia/commons/8/8c/T%C3%B8rrfesk.jpg
Birchermüesli, zubereitet (ungezuckert);Birchermüesli, préparé (non sucré);Birchermüesli, preparato (non zuccherato);Birchermüesli, prepared (no sugar added);11;90;3;1,2;1,9;2,7;5,7;20;8,3;https://upload.wikimedia.org/wikipedia/commons/2/23/Veritaffle.jpg
Birne, gedünstet, abgetropft (ohne Zugabe von Zucker);Poire, cuite,  égouttée (sans adjonction de sucre);Pere, cotte, sgocciolate (senza aggiunta di zucchero);Pear, stewed, drained (without addition of sugar);16;75;0;0;3;0,5;1;2,6;15,8;https://upload.wikimedia.org/wikipedia/commons/8/8c/T%C3%B8rrfesk.jpg
Birne, getrocknet;Poire, séchée;Pere, secche;Pear, dried;60;290;1;0,1;13,5;2,4;5;10;49,3;https://cdn.pixabay.com/photo/2015/03/30/19/36/dried-fruit-700012_960_720.jpg
Birne, gezuckert (Konserve);Poire, sucrée, conserve;Pere, zuccherate, conserva;Pear, sweetened, canned;21;95;0;0;2,1;0,4;0,7;1,8;21;https://upload.wikimedia.org/wikipedia/en/5/5d/Mountain_Dew_sign_Tonto_Arizona.jpg
Birne, roh;Poire, crue;Pera, cruda;Pear, raw;12;60;0;0;2,3;0,4;0,8;2;12,2;http://maxpixel.freegreatpicture.com/static/photo/1x/Raw-Pear-Isolated-Green-Organic-Food-Fruit-Fresh-2280.jpg
Birne, ungezuckert (Konserve);Poire, non sucrée, conserve;Pere, non zuccherate, conserva;Pear, unsweetened, canned;12;60;0;0;2,3;0,4;0,8;2;12,2;http://health.mil/~/media/MHS/Photos/Nutrition%20month.ashx
Birnenkuchen, gebacken (mit Blätterteig);Tarte aux poires, cuite au four (pâte feuilletée);Torta di pera, cotta nel forno (pasta sfoglia);Pear pie, baked (with puff pastry);17;145;7;3,8;1,8;2,4;3;93;9,9;https://upload.wikimedia.org/wikipedia/commons/5/53/Making_Pear_pie_with_puff_pastry.jpg
Birnenkuchen, gebacken (mit Kuchenteig);Tarte aux poires, cuite au four (pâte à gateau);Torta di pera, cotta nel forno (pasta per torta);Pear pie, baked (with cake dough);19;140;5;2,6;2;2,8;3,1;100;9,9;http://maxpixel.freegreatpicture.com/static/photo/1x/Pear-Pie-Food-Fruit-Homemade-Baked-Dessert-Sweet-554815.jpg
Birnensaft;Jus de poire;Succo di pere;Pear juice;11;50;1;0,2;0;0,5;1;2;11;https://upload.wikimedia.org/wikipedia/commons/9/97/Warm_mulled_pear_juice_at_glass.jpg
Birnenweggen;Chausson aux poires;Pasticcino alle pere;Birnenweggen, pastry with pear;57;360;10;5,8;7,7;5;2,5;290;33,7;https://upload.wikimedia.org/wikipedia/commons/3/3c/B%C3%BCndner_Birnbrot.jpg
Blanc battu;Blanc battu;Blanc battu;Blanc battu;3;45;0;0,1;0;7,6;7;23;2,4;https://cdn.pixabay.com/photo/2013/03/01/19/02/beaten-88180_960_720.jpg
Blanc battu mit Früchten light;Blanc battu aux fruits light;Blanc battu alla frutta light;Blanc battu with fruits light;8;70;0;0,1;0,3;8;10;48;5,4;
Blätterteig hausgemacht (Butter), ungebacken;Pâte feuillettée faite maison (au beurre), crue;Pasta sfoglia casalinga (al burro), cruda;Puff pastry home-made (with butter), raw;29;365;25;14,6;1,3;5,2;0,5;340;0,3;http://maxpixel.freegreatpicture.com/static/photo/1x/Breakfast-Big-Butter-Bake-Baking-Bakery-Bread-1238681.jpg
Blätterteig hausgemacht (mit pflanzlichem Fett), ungebacken;Pâte feuilletée faite maison (avec graisse végétale), crue;Pasta sfoglia casalinga (con grasso vegetale), cruda;Puff pastry home-made (with vegetable fat), raw;29;360;24;6,7;1,3;5,2;0,9;360;0,1;https://upload.wikimedia.org/wikipedia/commons/1/11/Bengali_Peas_Pulao_with_Mutton_Masala_-_Traditional_Bengali_Style.jpg
Blätterteigpastetli, Butter;Vol-au-vent au beurre;Vol-au-vent, al burro;Puff pastry patty with butter;43;565;41;25;2;5,8;0;470;1;https://upload.wikimedia.org/wikipedia/commons/8/81/Salami_sandwich_and_knish.jpg
Blätterteigstängel;Flûte feuilletté;Bastoncini di pasta sfoglia ;Puff pastry sticks;40;500;34;14,6;1,8;7,2;1,2;1040;0,3;http://maxpixel.freegreatpicture.com/static/photo/1x/Tuna-Tuna-Croissant-Pastry-Food-Croissant-Bread-2217780.jpg
Blattgemüse (Durchschnitt exkl. Salate), gedämpft (ohne Zugabe von Salz);Légumes feuille (moyenne sans salade), à la vapeur  (sans adjonction de sel);Verdura a foglia (in media esclusa la lattuga), stufata (senza aggiunta di grassi o sale);Leafy vegetables (average excluding salads), steamed (without addition of salt);2;25;0;0;2,4;1,6;2,4;18;2,2;https://upload.wikimedia.org/wikipedia/commons/f/fe/GEM_corn.jpg
Blattgemüse (Durchschnitt exkl. Salate), gedünstet (ohne Zugabe von Salz und Fett);Légumes feuille (moyenne sans salade), à l'étuvée (sans adjonction de graisse ni de sel);Verdura a foglia (in media esclusa la lattuga), brasata (senza aggiunta di grassi o sale);Leafy vegetables (average excluding salads), stewed (without addition of salt and fat);3;25;0;0;2,6;1,7;2,7;22;2,3;https://upload.wikimedia.org/wikipedia/commons/0/00/Barszcz_z_uszkami.jpg
Blattgemüse (Durchschnitt exkl. Salate), gekocht (ohne Zugabe von Salz und Fett);Légumes feuille (moyenne sans salade), cuits (sans adjonction de graisse ni de sel);Verdura a foglia (in media esclusa la lattuga), cotta (senza aggiunta di grassi o sale);Leafy vegetables (average excluding salads), boiled (without addition of salt and fat);2;25;0;0;2,5;1,6;2,3;16;2,2;https://upload.wikimedia.org/wikipedia/commons/3/30/Spaghetti_carbonara.jpg
Blattsalat (Durchschnitt), roh ;Salade verte (moyenne), crue;Lattughe (in media), crude;Leafy salad (average), raw ;1;20;0;0;1,9;1,6;5,7;18;1,4;https://c1.staticflickr.com/4/3457/3818573027_bdab2d4537_b.jpg
Blauschimmelkäse (Durchschnitt);Fromage bleu (moyenne);Formaggio blu (in media);Blue cheese (average);0;365;32;18,9;0;19,1;40;1530;0;https://upload.wikimedia.org/wikipedia/commons/e/ea/MaytagBlueCheesePackageAndRamekin.jpg
Blumenkohl, gedämpft (ohne Zugabe von Salz);Chou-fleur, à la vapeur (sans adjonction de sel);Cavolfiore, al vapore (senza aggiunta di sale);Cauliflower, steamed (without addition of salt);2;30;0;0;2,5;2,5;0,6;12;2,1;https://c1.staticflickr.com/9/8526/8669656013_10ab33f492_z.jpg
Blumenkohl, roh;Chou-fleur, cru;Cavolfiore, crudo;Cauliflower, raw;2;30;0;0;2,4;2,4;0,6;14;2;http://maxpixel.freegreatpicture.com/static/photo/1x/Vegetable-Raw-Green-Vegetables-Cauliflower-White-2283883.jpg
Blutwurst;Boudin;Sanguinaccio;Black pudding;3;155;11;4,5;0,1;10,7;6,8;800;2,6;https://upload.wikimedia.org/wikipedia/commons/b/b2/Grinners_breakfast.jpg
Bohne, grün, gedämpft (ohne Zugabe von Salz);Haricot (vert), à la vapeur (sans adjonction de sel);Fagiolini verdi, al vapore (senza agigunta di sale);Green bean, steamed (without addition of salt);4;35;0;0,1;3,4;2,3;3,1;3,7;2,4;http://maxpixel.freegreatpicture.com/static/photo/1x/Vegetables-Steamed-Beans-Green-Steam-Broccoli-1269716.jpg
Bohne, grün, getrocknet;Haricot (vert) sec, cru;Fagiolini verdi, secchi;Bean, green, dried;26;255;2;0,4;25,3;20,2;25;17;9,5;https://c1.staticflickr.com/3/2550/3683922685_b9765dd3f9_b.jpg
Bohne, grün, roh;Haricot vert, cru;Fagiolino verde, crudo;Bean, green, raw;4;35;0;0,1;3,1;2,1;3;4;2,2;https://cdn.pixabay.com/photo/2014/11/06/17/31/green-beans-519439_960_720.jpg
Bohne, weiss, gekocht (ohne Zugabe von Fett und Salz);Haricot, blanc, cuit (sans adjonction de graisse ni de sel);Fagioli bianchi, cotti (senza aggiunta di grassi e sale);Bean, white, cooked (without addition of fat and salt);18;130;1;0,2;7,4;8,5;0,2;1,2;1,4;https://upload.wikimedia.org/wikipedia/en/0/0b/Hickory_smoked_barbecue_bacon.jpg
Bohne, weiss, getrocknet;Haricot, blanc, sec;Fagioli bianchi, secchi;Bean, white, dried;44;325;3;0,4;18,4;21,3;0,6;2,1;3,6;https://upload.wikimedia.org/wikipedia/commons/c/ce/Black_Turtle_Bean.jpg
Bolognaisesauce;Sauce bolognaise;Ragù alla bolognese;Ground meat sauce;8;100;4;1,4;0,6;6,3;1,5;220;2,6;https://c1.staticflickr.com/1/42/86325664_469f4703ec_b.jpg
Bouillon, Fleisch, zubereitet;Bouillon de viande, preparé;Brodo di carne preparato;Bouillon, meat, prepared;0;5;0;0,2;0;0,3;3;420;0;https://upload.wikimedia.org/wikipedia/commons/f/f0/Horse_meat_hamburger_at_restaurant_Hot%27_Horse%2C_Ljubljana%2C_Slovenia.jpg
Bouillon, Geflügel, zubereitet;Bouillon de poule, preparé;Brodo di pollo preparato;Bouillon, poultry, prepared;0;5;0;0,1;0;0,3;2,8;400;0,1;http://maxpixel.freegreatpicture.com/static/photo/1x/Result-Orange-Pumpkin-Soup-Full-Hunger-Harvest-202873.jpg
Bouillon, Gemüse, zubereitet;Bouillon de légumes, preparé;Brodo di verdura, preparato;Bouillon, vegetable, prepared;0;10;0;0,1;0;0,3;3,6;360;0,1;https://cdn.pixabay.com/photo/2015/05/14/20/37/cook-767289_960_720.jpg
Branchli (Milchschokolade mit Haselnusscrèmefüllung);Chocolat au lait, fourré à la crème de noisettes ;Cioccolato al latte ripieno di crema alle nocciole;Milk chocolate filled with nuts (chocolate bar);49;560;36;16,8;3,4;7,6;7,3;62;47,9;https://upload.wikimedia.org/wikipedia/commons/5/5e/Cadbury-Dairy-Milk-Caramel-Bar.jpg
Branntwein aus Getreide (z.B. Whisky);Eau-de-vie de céréales (p.ex. Whisky);Acquavite di cereali (p.es. Whisky);Spirits, grain (e.g. whisky);0;255;0;0;0;0;0;1;0,1;https://upload.wikimedia.org/wikipedia/commons/3/36/Single_Malt.jpg
Branntwein aus Wein (z.B.Cognac);Eau-de-vie de vin (p. ex. Cognac);Acquavite di vino (p.es. Cognac);Spirits, wine (e.g. cognac);2;240;0;0;0;0;0;2;2;https://upload.wikimedia.org/wikipedia/commons/8/88/Vermouth_Bottles.jpg
Branntwein aus Zuckerrohr (z.B. Rum);Eau-de-vie de canne à sucre (p.ex. Rhum);Acquavite di canna da zucchero (p.es. Rum);Spirits, sugar cane (e.g. rum);0;235;0;0;0;0;0;1;0;https://upload.wikimedia.org/wikipedia/commons/8/88/Vermouth_Bottles.jpg
Bratbutter;Beurre à rôtir;Burro per arrostire;Butter, clarified;0;885;98;58,9;0;0,1;0;10;0;https://upload.wikimedia.org/wikipedia/commons/4/43/Butterschmalz-2.jpg
Bratensauce, gebunden;Sauce de rôti, liée;Salsa d'arrosto, legata;Gravy, thickened;5;55;3;0,7;0,5;1,6;3;580;0,8;https://upload.wikimedia.org/wikipedia/commons/a/ab/Carrot_soup.jpg
Bratensauce, klar;Sauce de rôti, claire;Salsa d'arrosto, chiara;Gravy, brown;4;45;3;0,5;0,5;1,5;3;900;1,5;https://c1.staticflickr.com/4/3430/3200119839_9f5a7e0893_b.jpg
Bresaola;Bresaola;Bresaola;Bresaola (cured beef);0;170;4;1,6;0;32,4;0;2730;0;https://c1.staticflickr.com/9/8422/7857446586_12ea7d4717_b.jpg
Brie, halbfett;Brie, mi-gras;Brie, semigrasso;Brie, at least 25% fidm;0;200;12;6,9;0;24;23;740;0;https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Occupation_educational_attainment.svg/2000px-Occupation_educational_attainment.svg.png
Brie, Rahm;Brie, à la crème;Formaggio Brie, alla panna;Brie, at least 50% fidm;0;335;30;18;0;16;20;560;0;
Brie, vollfett;Brie, gras;Formaggio Brie, grasso;Brie, at least 45% fidm;0;300;24;14,1;0;21,8;8,3;510;0;
Broccoli, gedämpft (ohne Zugabe von Salz);Brocoli, à la vapeur (sans adjonction de sel);Broccoli, al vapore (senza aggiunta di sale);Broccoli, steamed (without addition of salt);2;30;0;0,1;2,9;2,9;14;11;2,2;http://maxpixel.freegreatpicture.com/static/photo/1x/Vegetables-Steamed-Beans-Green-Steam-Broccoli-1269716.jpg
Broccoli, roh;Brocoli, cru;Broccoli, crudi;Broccoli, raw;2;35;0;0,1;3;3;15;13;2,3;https://upload.wikimedia.org/wikipedia/commons/4/40/Raw_broccoli_bunches.JPG
Brombeere, roh;Mûre, crue;Mora, cruda;Blackberry, fresh;6;45;0;0;6;1;0,4;3;6,2;http://maxpixel.freegreatpicture.com/static/photo/1x/Fruit-Black-Fresh-Berry-Isolated-Food-Blackberry-2274.jpg
Brombeerkuchen, gebacken (mit Blätterteig);Tarte aux mûres, cuite au four (pâte feuilletée);Torta di mora, cotta nel forno (pasta sfoglia);Blackberry pie, baked (with puff pastry);13;135;7;3,8;4,3;2,8;2,8;94;5,9;http://maxpixel.freegreatpicture.com/static/photo/1x/Rhubarb-Pastry-Cranberry-Food-Dessert-Pie-881175.jpg
